"ProbeID","Symbol","EntrezID","logFC","AveExpr","t","P.Value","adj.P.Val","SE","Direction"
"1598_g_at","GAS6","2621",-1.30049009394594,9.60697890865549,-12.1396911152069,4.8385681137107e-06,0.000592405567460525,0.107127115641094,"Downregulated"
"200602_at","APP","351",1.01763792053791,7.80609359770582,2.49860665728337,0.0402842152032187,0.101682506499017,0.407282161668593,"Upregulated"
"200603_at","PRKAR1A","5573",1.20445086383078,8.6363653788723,3.18881873482787,0.014809028523432,0.053224126223812,0.377710670937775,"Upregulated"
"200604_s_at","PRKAR1A","5573",1.02390752904624,7.78707644215377,5.72036072925245,0.000659567300573042,0.00884850624268481,0.178993524623411,"Upregulated"
"200612_s_at","AP2B1","163",1.19578468996714,7.27901044806761,11.5308527703937,6.88724596921833e-06,0.00073429905230666,0.103703057681684,"Upregulated"
"200621_at","CSRP1","1465",-1.87812494477985,8.61886021484266,-16.6172555378678,5.4574351851253e-07,0.000161938067211703,0.113022571055728,"Downregulated"
"200648_s_at","GLUL","2752",2.32919462054835,6.69124207399478,17.8941081724061,3.24490400995942e-07,0.000124665855265389,0.130165448767104,"Upregulated"
"200704_at","LITAF","9516",-1.20088074239734,8.91625609850547,-11.1622910282602,8.59971337297221e-06,0.00082955590082225,0.107583715507596,"Downregulated"
"200727_s_at","ACTR2","10097",1.03127810009382,8.45250724954202,4.97224228254271,0.00150341082929835,0.0138546333785174,0.207407049273239,"Upregulated"
"200788_s_at","PEA15","8682",-1.05670220542678,9.70083699581245,-5.27898009034748,0.00106275095855322,0.0114734881828689,0.200171659551992,"Downregulated"
"200793_s_at","ACO2","50",1.55714028374319,8.92397352928539,15.3145796700513,9.66267773222909e-07,0.000229056859475809,0.10167698476167,"Upregulated"
"200798_x_at","MCL1","4170",1.40130160485312,6.96352084181195,12.2259569187916,4.60854415495533e-06,0.00057369938215011,0.11461692644273,"Upregulated"
"200799_at","HSPA1A","3303",1.06841725615406,9.52607463968182,4.46348978283663,0.00275228745792976,0.019488154250095,0.239368142000106,"Upregulated"
