"RowName","ProbeID","logFC","AveExpr","t","P.Value","SE.x","df","adj.P.Val","Symbol","EntrezID.x","Direction","Gene","EntrezID.y","SE.y","EntrezID","SE","CI_lower","CI_upper"
"1","202170_s_at",1.22654827527502,7.37626397058312,7.47095970415762,0.000124480699583792,0.164175463908933,7.17350958619789,0.00351559369939879,"AASDHPPT","60496","Upregulated","AASDHPPT",NA,NA,"60496",0.164175463908933,0.770724112111487,1.68237243843855
"2","209460_at",-1.86947583107589,6.26436732632583,-4.74765007067076,0.00195437918544797,0.393768665181293,7.17350958619789,0.0159346620524468,"ABAT","18","Downregulated","ABAT",NA,NA,"18",0.109257406516786,-2.17282302260603,-1.56612863954576
"3","203504_s_at",1.50664077580772,7.58853053115738,3.65389043306851,0.00779659447669377,0.412338794336111,7.17350958619789,0.0362344643041022,"ABCA1","19","Upregulated","ABCA1",NA,NA,"19",0.412338794336111,0.361804748590063,2.65147680302537
"4","209993_at",2.34337928388312,7.53162757332547,10.315517167834,1.47026591794885e-05,0.227170314949433,7.17350958619789,0.00114470253404665,"ABCB1","5243","Upregulated","ABCB1",NA,NA,"5243",0.227170314949433,1.71265337489553,2.97410519287072
"5","214033_at",1.30270487979346,6.29419295871338,8.18546229661841,6.87471303758865e-05,0.159148601824437,7.17350958619789,0.00262198484113555,"ABCC6","368","Upregulated","ABCC6",NA,NA,"368",0.159148601824437,0.860837523258933,1.74457223632799
"6","202850_at",1.53776958070528,8.29136467595456,4.31343762627342,0.00331354628592597,0.356506738694593,7.17350958619789,0.0217694097127276,"ABCD3","5825","Upregulated","ABCD3",NA,NA,"5825",0.356506738694593,0.547948191086651,2.52759097032391
"7","201873_s_at",1.02326330394822,6.36999123282642,6.00795328554861,0.000489833147725777,0.170318119218661,7.17350958619789,0.00742939648391401,"ABCE1","6059","Upregulated","ABCE1",NA,NA,"6059",0.170318119218661,0.550384395517069,1.49614221237936
"8","220285_at",1.31361151678741,5.93681280216551,9.23634177701076,3.09112551269618e-05,0.142222055928786,7.17350958619789,0.00167183373299536,"ABHD17B","51104","Upregulated","ABHD17B",NA,NA,"51104",0.142222055928786,0.918739785752765,1.70848324782206
"9","209028_s_at",1.00573936732457,6.03470275938101,3.1225599834197,0.0162651196829181,0.322088085630023,7.17350958619789,0.0564541529430628,"ABI1","10006","Upregulated","ABI1",NA,NA,"10006",0.322088085630023,0.111479478534564,1.89999925611457
"10","212476_at",1.16968441812438,4.7421673769645,4.14304845113454,0.00410758009993508,0.28232458102296,7.17350958619789,0.0248435825078353,"ACAP2","23527","Upregulated","ACAP2",NA,NA,"23527",0.28232458102296,0.385825717066166,1.9535431191826
"11","209608_s_at",-1.02939770821181,6.70151485913379,-3.68417729431378,0.00748555468439632,0.279410469686298,7.17350958619789,0.035406625988623,"ACAT2","39","Downregulated","ACAT2",NA,NA,"39",0.279410469686298,-1.80516553911335,-0.25362987731027
"12","200793_s_at",1.55714028374319,8.92397352928539,15.3145796700513,9.66267773222909e-07,0.10167698476167,7.17350958619789,0.000229056859475809,"ACO2","50","Upregulated","ACO2",NA,NA,"50",0.10167698476167,1.27483971709038,1.839440850396
"13","207275_s_at",2.98772171138489,9.10911135380466,9.97913283361559,1.83940543125945e-05,0.299396927688996,7.17350958619789,0.00129609824674668,"ACSL1","2180","Upregulated","ACSL1",NA,NA,"2180",0.299396927688996,2.15646257699152,3.81898084577826
"14","214069_at",1.98264576197774,6.42020773568233,7.85333399214037,9.0101217459195e-05,0.252459116594554,7.17350958619789,0.00300557698898689,"ACSM2A","123876","Upregulated","ACSM2A",NA,NA,"123876",0.252459116594554,1.28170688344623,2.68358464050924
"15","206014_at",-1.36206322754113,6.20544479236157,-8.09239645822628,7.4091909540036e-05,0.168313951815414,7.17350958619789,0.00269329530225224,"ACTL6B","51412","Downregulated","ACTL6B",NA,NA,"51412",0.168313951815414,-1.82937767519553,-0.894748779886723
"16","200727_s_at",1.03127810009382,8.45250724954202,4.97224228254271,0.00150341082929835,0.207407049273239,7.17350958619789,0.0138546333785174,"ACTR2","10097","Upregulated","ACTR2",NA,NA,"10097",0.207407049273239,0.455423813355617,1.60713238683202
"17","213198_at",1.77088197609092,8.48711894456263,13.6383753095251,2.16529298167289e-06,0.129845523084713,7.17350958619789,0.000349632054424762,"ACVR1B","91","Upregulated","ACVR1B",NA,NA,"91",0.129845523084713,1.41037300909052,2.13139094309132
"18","202740_at",1.31022159848805,8.94926420148894,10.481771474559,1.31932002251363e-05,0.125000015662255,7.17350958619789,0.00105749669286587,"ACY1","95","Upregulated","ACY1",NA,NA,"95",0.125000015662255,0.963165916852933,1.65727728012316
"19","202952_s_at",-1.56575041593286,6.12800226066912,-2.86660825433372,0.0234835789710794,0.546203135208924,7.17350958619789,0.07118549724018,"ADAM12","8038","Downregulated","ADAM12",NA,NA,"8038",0.546203135208924,-3.08225343712736,-0.0492473947383505
"20","219935_at",-1.87742563750661,6.20737100651364,-3.54371261004391,0.00905137768470612,0.529790602145739,7.17350958619789,0.0396718821692184,"ADAMTS5","11096","Downregulated","ADAMTS5",NA,NA,"11096",0.529790602145739,-3.34836016161394,-0.406491113399285
"21","203865_s_at",1.50279085917031,5.64745832038711,15.1425132388256,1.04557959047539e-06,0.0992431596702939,7.17350958619789,0.000242694270985033,"ADARB1","104","Upregulated","ADARB1",NA,NA,"104",0.0992431596702939,1.22724767427936,1.77833404406126
"22","204497_at",1.42200584153877,6.66630048036359,5.71604433375298,0.000662570825069453,0.24877445983788,7.17350958619789,0.0088566680833969,"ADCY9","115","Upregulated","ADCY9",NA,NA,"115",0.24877445983788,0.731297210223665,2.11271447285388
"23","201752_s_at",1.83649179231507,9.59215123024288,14.9656306675686,1.1349106899147e-06,0.122713959278365,7.17350958619789,0.000250808717674623,"ADD3","120","Upregulated","ADD3",NA,NA,"120",0.122713959278365,1.49578322073721,2.17720036389292
"24","206953_s_at",2.23266158394492,5.18241958450109,22.843447828046,5.78421830401838e-08,0.0977375044586643,7.17350958619789,5.37040568618506e-05,"ADGRL2","23266","Upregulated","ADGRL2",NA,NA,"23266",0.0977375044586643,1.96129876809641,2.50402439979342
"25","208848_at",1.14913938190679,7.33755505519892,4.43372967571536,0.00285472125174691,0.259181200920055,7.17350958619789,0.0199284942520916,"ADH5","128","Upregulated","ADH5",NA,NA,"128",0.259181200920055,0.429537005253021,1.86874175856056
"26","205891_at",-1.42062056303432,5.74142574298367,-6.14476697600772,0.000426682609127733,0.231191934304612,7.17350958619789,0.00685986188974985,"ADORA2B","136","Downregulated","ADORA2B",NA,NA,"136",0.231191934304612,-2.06251227739557,-0.778728848673075
