"ProbeID","Symbol","EntrezID","GeneName","IQR"
"206411_s_at","ABL2","27","ABL proto-oncogene 2, non-receptor tyrosine kinase",0.0469138420086868
"210461_s_at","ABLIM1","3983","actin binding LIM protein 1",0.273704690132032
"205730_s_at","ABLIM3","22885","actin binding LIM protein family member 3",0.538463008194744
"214504_at","ABO","28","ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase",0.835394447661009
"212895_s_at","ABR","29","ABR activator of RhoGEF and GTPase",0.796906937246675
"212835_at","ABRAXAS2","23172","abraxas 2, BRISC complex subunit",0.322764439442971
"218405_at","ABT1","29777","activator of basal transcription 1",0.0576676976406727
"213497_at","ABTB2","25841","ankyrin repeat and BTB domain containing 2",0.404196527177125
"214274_s_at","ACAA1","30","acetyl-CoA acyltransferase 1",0.671402673335082
"202002_at","ACAA2","10449","acetyl-CoA acyltransferase 2",0.251126848033468
"212186_at","ACACA","31","acetyl-CoA carboxylase alpha",0.251309749295544
"43427_at","ACACB","32","acetyl-CoA carboxylase beta",0.3379902167042
"219986_s_at","ACAD10","80724","acyl-CoA dehydrogenase family member 10",0.29587053972045
"221669_s_at","ACAD8","27034","acyl-CoA dehydrogenase family member 8",0.825906801378249
"206068_s_at","ACADL","33","acyl-CoA dehydrogenase long chain",0.55796638276635
"202502_at","ACADM","34","acyl-CoA dehydrogenase medium chain",0.825553144019798
"202366_at","ACADS","35","acyl-CoA dehydrogenase short chain",0.25732948754063
"205355_at","ACADSB","36","acyl-CoA dehydrogenase short/branched chain",0.0477143528879376
"200710_at","ACADVL","37","acyl-CoA dehydrogenase very long chain",0.496412682325811
"207692_s_at","ACAN","176","aggrecan",0.658353156974517
"205212_s_at","ACAP1","9744","ArfGAP with coiled-coil, ankyrin repeat and PH domains 1",0.297196533122156
"212476_at","ACAP2","23527","ArfGAP with coiled-coil, ankyrin repeat and PH domains 2",1.12433761586905
"205412_at","ACAT1","38","acetyl-CoA acetyltransferase 1",0.868679524629375
"209608_s_at","ACAT2","39","acetyl-CoA acetyltransferase 2",0.720578937715045
"202323_s_at","ACBD3","64746","acyl-CoA binding domain containing 3",0.414812564349921
"219413_at","ACBD4","79777","acyl-CoA binding domain containing 4",0.158763901662603
"204617_s_at","ACD","65057","ACD shelterin complex subunit and telomerase recruitment factor",0.143045683690588
"209749_s_at","ACE","1636","angiotensin I converting enzyme",0.294588319964185
"219962_at","ACE2","59272","angiotensin converting enzyme 2",0.15488481884827
"210332_at","ACHE","43","acetylcholinesterase (Yt blood group)",0.955739712144546
"201715_s_at","ACIN1","22985","apoptotic chromatin condensation inducer 1",0.105737430680828
"208335_s_at","ACKR1","2532","atypical chemokine receptor 1 (Duffy blood group)",0.474563552465752
"206887_at","ACKR2","1238","atypical chemokine receptor 2",0.127980583743204
"212977_at","ACKR3","57007","atypical chemokine receptor 3",0.230858083183883
"220351_at","ACKR4","51554","atypical chemokine receptor 4",0.157228893152528
"214506_at","ACKR5","11318","atypical chemokine receptor 5",0.395523922526114
"210337_s_at","ACLY","47","ATP citrate lyase",0.308031019696243
"207071_s_at","ACO1","48","aconitase 1",0.904296601217622
"200793_s_at","ACO2","50","aconitase 2",1.54673636739037
"214763_at","ACOT11","26027","acyl-CoA thioesterase 11",0.216639739052261
"204565_at","ACOT13","55856","acyl-CoA thioesterase 13",0.315621739145521
"202982_s_at","ACOT2","10965","acyl-CoA thioesterase 2",0.299077758621357
"208002_s_at","ACOT7","11332","acyl-CoA thioesterase 7",0.413910294518288
"204212_at","ACOT8","10005","acyl-CoA thioesterase 8",0.0814312410258626
"221641_s_at","ACOT9","23597","acyl-CoA thioesterase 9",0.0305472365556572
